Nama,Energi (Kal),Protein (g),Lemak (g),Karbodhidrat (g),Serat (g)
Nasi,180,3,0.3,39.8,2
Nasi Tim,120,2.4,0.4,26,0.5
Tapai Beras,99,1.7,0.3,22.4,0
"Tepung beras, mentah",353,7,0.5,80,2.4
Nasi Beras Merah,149,2.8,0.4,32.5,0.3
Bihun Mentah,348,4.7,0.1,82.1,1.2
Bihun goreng instan,381,6.1,3.9,80,0
"Bihun Jagung, mentah",354,0.5,0.3,87.4,3
Nasi Jagung,357,8.8,0.5,79.5,6.2
"Jagung Muda, rebus",142,5,0.7,30.3,0.8
"Jagung Kuning, tepung",355,9.2,3.9,73.7,7.2
"Jagung Kuning Pipil, rebus",154,3.8,3.5,28.4,0.7
"Ketan Hitam, matang",181,4,1.2,37.3,0.3
Tapai Ketan Hitam,166,3.8,1,34.4,0.3
Tepung Jagung Putih,355,9.2,3.9,73.7,7.2
Ketupat Ketan,212,4,4.6,38.6,0.2
"Ketan Putih, matang",163,3,0.4,35.7,0.2
Tapai Ketan Putih,172,3,0.5,37.5,0.6
"Makaroni, mentah",353,8.7,0.4,78.7,4.9
Mi Basah,88,0.6,3.3,14,0.1
Mi Kering,339,10,1.7,6.3,0.4
Misoa,345,8.5,2.2,78,0.5
Roti Putih,248,8,1.2,50,9.1
Amparan Tatak,191,1.3,5.5,34,0
"Apang Kukus, Kue",202,3,0.3,46.7,0
"Apem, Kue",148,2,0.5,33.9,0
Biskuit,458,6.9,14.4,75.1,2.1
"Bakpia, Kue",272,8.7,6.7,44.1,0.9
Bakwan,280,8.2,10.2,39,3.4
Bantal,190,3.3,0.3,43.5,3.4
Baruasa,417,6.5,8.2,79.3,0
Batar daan,107,2.2,2.2,19.6,0
Bika Ambon,199,2.1,1.5,44.4,0.3
Bingka,273,5.3,10.6,39.1,0
Bobengka,225,5.3,2.6,45.2,0
Bolu Peca,197,3.3,4.6,35.6,0
Brem,249,3.4,0.4,58,0
Bubur tinotuan (Manado),156,2.3,0.2,15.6,8.2
Cake tape,323,4.9,11.5,50.1,1.4
Cangkuning,204,2.8,7.5,31.4,0
Dodol bali,298,3.7,2.1,65.9,0.4
Dodol galamai,348,9.4,3.8,76.1,0.5
Dodol Kedondong,331,1.9,7.6,63.8,1
Dodol Manado,373,4.3,16.5,51.9,0.4
Emping beras,403,10.6,2.2,85.3,0.2
Gemblong,274,1.7,5.4,55.5,2.2
Gandar Goreng,407,6.4,28.2,32,0.1
Intip Goreng,474,7.6,21.6,62.3,1.2
Jagung Gerontol,156,2.7,1.3,33.3,1
Jagung titi,374,9.4,2.2,79.1,0.8
Japilus,500,1.2,25.1,67.3,0.4
Kakicak,296,3.4,15.1,36.7,0
Kambose,164,3,2.4,32.6,4.3
Kapusa,158,4.4,3.2,27.8,5.3
Keddo bodong,290,4.6,5.7,55.2,0
"Kelepon, kue",215,3.7,3.7,41.8,1
Kereput,580,4.8,39.6,51.1,0
Ketoprak,153,7.9,7.7,13,2.9
Ketupat kandangan,109,2.2,5.2,13.4,0
Koya,366,4.2,4.3,77.5,0.8
Koya Mirasa,370,8,1,82.2,0.4
Koyabu,241,3.4,4.3,47.2,0
Kue ali,440,3.8,18.5,64.5,0.3
Kue bangen,442,3.3,14.7,74.2,0
Kue gelang,448,5.8,16.1,70,0
Kue jahe,425,1.6,8.8,84.6,1.2
Kue kelapa,591,5.6,42.1,47.5,0
Kue koa,340,4.8,0.4,79.3,0
Kue ku temu,214,3.5,3.5,49.6,0
Kue lumpur,291,3.6,11.1,44.1,0
Kue pelita,141,5.3,5.5,17.6,0
Kue putu cangkir,304,5.3,7,54.9,0.9
Kue sus,221,7.5,10.2,24.8,0
Kue timphan,247,2.9,4.2,49.5,0
Laksa/Putu mayang,121,1.7,3.4,21.1,0
Lapis legit,389,6.6,15.7,55.5,0.5
Lupis Ketan,164,1.8,2.1,34.5,0.7
Mana samin,379,3.4,18.1,50.6,0
Martabak india,153,4.5,4.2,24.3,0
Martabak mesir,278,5.1,8.6,45,0
Masekat,369,2.1,7,74.1,4
Mie aceh rebus,113,3,3.2,18.1,0
Mie ayam,102,6.2,3.9,10.5,0
Mie Bakso,114,5.3,3,16.4,0.1
Mie celon,102,3,2.1,17.8,0.1
Mie pangsit basah,105,5.9,4.9,9.4,0
Nasi gemuk,192,3.8,8.8,24.4,0.7
Nasi gurih,190,4.7,7.5,26,0.7
Nasi minyak,207,3.5,5,37.1,0.8
Nasi rames,155,10.3,4.2,19.1,0
Nopia spesial,387,5.3,7.6,74.3,0.3
Onde-onde,336,4,9.8,57.9,0
Padamaran,171,3.9,8.9,18.8,0
Pastel,307,4.5,13.3,42.4,0
Pulut,216,2.6,3.1,44.4,0
Pundut nasi,104,1.9,4.1,15.1,0.4
Putri hijau,189,5.4,2.1,37.2,0
Putri selat,163,2.2,6.5,23.8,0
Putu sopa,215,3.3,4.1,41.1,0
Renggi goreng,471,4.7,21.8,64.1,6.4
Roti boong,341,5.5,16.2,43.3,0
Roti warna sawo matang,249,7.9,1.5,49.7,0
Sarimuka,166,2.3,2.8,32.9,0
Spaghetti,139,7.4,2.1,22.6,0
Srikaya ketan,265,2.7,6.4,49.1,0
Sunduk lawang,181,1.9,1.3,32.4,0
Suwir-suwir,347,0.5,0.9,84.2,0.8
Tipa-tipa,355,6.2,1.2,79.8,1.3
Wajit camilan,303,6.3,2.7,63.3,6.9
Widaran,424,1.3,10.7,80.7,0.2
Wingko babat,355,3.2,15.1,51.4,2.4
Yangko,254,3,1.1,58.1,0.8
"Batatas kelapa, ubi, bakar",110,1.4,1.1,23.4,4.5
"Batatas kelapa, ubi, kukus",92,1.2,0.3,21,4.1
"Batatas tali, ubi, rebus",182,2.4,0.4,42.2,9.2
"Belitung, talas, kukus",145,1.2,0.4,34.2,1
"Bentul, talas, kukus",71,2.3,0.3,15.4,0.5
"Gadung, ubi, kukus",88,0.6,0.3,20.9,0.9
"Ganyong, rebus",100,0.8,0.2,23.8,0.9
Ketela pohon/singkong kukus,153,1.2,0.3,36.4,1.3
"Suweg, talas, kukus",93,1.5,0.1,21.9,0.9
"Talas bogor, kukus",120,1.5,0.3,28.2,0.7
"Ubi jalar, kuning, kukus",100,0.7,0.3,23.8,1
Ubi jalar tinta/ kemayung kukus,165,0.9,0.2,39.8,1.1
Bagea kelapa asin,450,3.2,13.9,78.1,0
Bagea kelapa manis,452,1.3,13.8,80.6,0
Bagea kenari asin,529,3.2,29.1,63.6,0
Bagea kenari manis,523,3.2,28.2,64.2,0
Bagea kw 1,416,6.5,9.4,76.3,0.4
Bagea kw 2,382,0.3,3.5,87.2,0.9
Beras cerdas,350,2.7,1.1,82.3,6.2
Beras ganyong,364,3.4,0.7,86.3,4.7
Beras siger,344,1.1,0.2,28.3,5.6
Biji nangka / biji salak,262,2.3,5.4,51.1,8
Bubur sagu,167,0.2,4,33,0
Cassavastick,460,0.8,18.7,17.2,1.6
Ceriping getuk singkong,462,1.2,20.7,67.7,0.6
Gatot,347,1.3,0.7,83.8,5.8
Geblek,195,0.4,1.7,44.4,3.6
Getuk goreng,360,1.3,6.4,74.3,0.8
Getuk singkong,204,0.5,1.4,47.4,0.8
gurandil,218,0.5,2.5,48.5,3.1
kabuto,250,2.6,2.5,35.4,1.8
kapurung,41,2,0.3,7.8,2
kecimpring singkong goreng,464,1.2,18.6,73,1.3
keremes,475,1.6,25.2,64.4,2.1
keripik gadung,446,2.8,14.5,76,1.7
keripik kentang,448,2.7,18.8,67.1,3.8
keripik singkong,478,0.9,20.7,72,2
keripik singkong bumbu,481,2.2,19.7,73.6,1.6
keripik ubi,486,0.2,23.9,67.6,14.3
kerupuk cumi goreng,444,6.9,14.6,71.3,5
kerupuk kemplang (ikan) mentah,325,1.8,0.4,78.5,4.5
kerupuk kemplang goreng,504,5.6,28.1,57.1,0.3
kerupuk kemplang panggang,356,9.7,1.1,76.9,1
kerupuk mie kuning goreng,476,0.1,21.1,71.3,4.2
kerupuk udang goreng,477,4.7,20.5,68.5,5
kue bangket,338,1.5,1.2,80.3,0
kue putu singkong,217,1.2,0.5,53.2,2.4
lanting getuk,422,0.9,10.8,80.4,1.4
mi glosor,71,0.2,0.8,15.9,0.1
mie bendo,353,0.3,0,88,2.4
mie sagu,190,0.2,0.4,46.5,1.4
ongol ongol sagu,111,0.3,2.7,21.2,0.3
oyek,351,0.9,0.9,84.9,4.3
papeda,61,0.2,0.1,14.9,0.5
rasbi (beras ubi),394,2.2,8.8,76.6,6.8
rasi (beras singkong),350,0.9,0.4,85.7,14.4
sagu forno,291,0.5,4,63.4,0
sagu lemak,452,2.8,14.8,76.8,1.1
sagu manis,287,0.5,3.9,62.4,0
sagu rendang,364,0.1,0.2,90.5,1.9
sagu sinole,354,0.8,8.3,68.9,0
serimping talas kebumen,478,2.5,21.2,69.2,1.7
tapai singkong,169,1.4,0.3,40.2,2
tepung arrowroot,355,0.7,0.2,85.2,0.4
tepung ganyong,353,0.8,1.7,83.6,0.7
tepung geplek,345,2.4,0.4,83.1,6.7
tepung kentang,347,0.3,0.1,85.6,0.4
tepung mocaf,350,1.2,0.6,85,6
tepung sente,326,4,0.4,76.7,8.5
tepung singkong/tapioka,363,1.1,0.5,88.2,0.9
tepung talas beneng,332,5.7,0.6,76.1,12.2
tepung ubi ungu,354,2.8,0.6,84.4,12.9
tiwul,353,2.4,1.1,83.4,6.5
tiwul instan,395,3.2,8.5,76.5,4.2
ubi cilembu,186,1.9,0.2,44.3,3.4
uli batatas,150,1.1,4,27.4,0
"kacang belimbing, rebus",204,16.9,8.8,17.5,4.8
"kacang bogor, goreng",479,12.7,23.2,58.9,1.2
"kacang bogor, rebus",161,7.7,2.8,27.1,2
"kacang gude, rebus",147,9,0.5,27.5,3.4
"kacang hijau, rebus",109,8.7,0.5,18.3,1.5
"kacang kedelai, goreng",521,32.2,37.7,22.9,7.6
"kacang kedelai, rebus",189,20.2,8.2,12.7,1.6
"kacang merah kering, rebus",158,10.3,0.9,28.2,2.6
"kacang merah segar, rebus",144,10,1,24.7,3.5
"kacang mete/biji jambu monyet, goreng",629,20.4,56.3,19.8,1.1
alpukat,85,0.9,6.5,7.7,0
Anggur hutan,30,0.5,0.2,6.8,1.2
Apel,58,0.3,0.4,14.9,2.6
arbai,37,0.8,0.5,8.3,0
Belimbing,36,0.4,0.4,8.8,3.2
Biwah,51,0.3,0.1,12.1,0.7
Buah atung,23,0.8,0.2,5.2,0
Buah kom,264,4,1.1,59.6,9
Buah mentega(bisbul),39,0.7,0.2,9.7,2
Buah naga merah,71,1.7,3.1,9.1,3.2
buah naga putih,56,0.8,1,10.9,3.2
carica papaya,24,1.9,0.2,3.7,1
cempedak,116,3,0.4,28.6,3.4
duku,63,1,0.2,16.1,4.3
durian,134,2.5,3,28,3.5
duwet,80,0.5,0.6,18.2,0.9
jambu air,46,0.6,0.2,11.8,2.1
jambu biji,49,0.9,0.3,12.2,2.4
jambu biji putih,61,0.9,0.3,15.4,4.5
jambu bol,49,2.3,0.2,9.6,3.5
jeruk bali,48,0.6,0.2,12.4,0.8
jeruk banjar,61,0.8,0.2,14.1,5.4
jeruk garut-keprok,44,0.8,0.3,10.9,1.6
jeruk kalamansi,39,0.3,0.3,8.9,2.3
jeruk manis,45,0.9,0.2,11.2,1.4
jeruk nipis,44,0.5,0.2,10,0.4
jeruk ragi,49,0.7,0.2,11.1,0.5
kelapa muda,68,1,0.9,14,0
kokosan,86,1.6,0.2,13,1.4
"Lemon, Segar",34,0.5,0.8,6.2,0.1
"Mangga,",52,0.7,0,12.3,1.6
Manggis,63,0.6,0.6,15.6,1.5
Markisa,144,3.5,1.2,29.8,11.4
Melon,37,0.6,0.4,7.8,1
Nanas,40,0.6,0.3,9.9,0.6
Nangka,106,1.2,0.3,27.6,3.7
Pepaya,46,0.5,0.1,12.2,1.6
Pisang,108,1,0.8,24.3,1.9
Rambutan,69,0.9,0.1,18.1,0.8
Salak,77,0.4,0,20.9,0
Kangkung,28,3.4,0.7,3.9,2
Kapri,45,3.3,0.2,9,1.8
Kecipir,32,2.9,0.2,5.8,5.5
Karawila,25,2.3,0.2,3.5,2.1
Kecombrang,34,0.9,1,6.7,2.6
Kembang Turi,51,1.8,0.6,9.6,5
Ketimun,8,0.2,0.2,1.4,0.3
Kol Kembang,25,2.4,0.2,4.9,1.6
Kol Merah,29,1.4,0.2,5.3,1.9
Kucai,45,2.2,0.3,10.3,4.8
Labu,51,1.7,0.5,10,2.7
Lobak,21,0.9,0.1,4.2,1.4
Putri Malu,76,3.6,0.3,14.6,7.1
Rebung,25,0.8,0.1,5.3,9.7
Rumput Laut,41,1.4,0.3,8.1,2.2
Sawi,28,2.3,0.3,4,2.5
Selada,18,1.2,0.2,2.9,1.8
Seledri,23,1,0.1,4.6,2
Taoge,34,3.7,1.2,4.3,1.1
Tebu,30,4.6,0.4,3,0.8
Terong,28,1.1,0.2,5.5,2.1
Tomat,24,1.3,0.5,4.7,1.5
Wortel,36,1,0.6,7.9,1
Bayam,30,1.3,0.7,5.8,1.2
Buncis,30,2.2,0.2,6.4,1.5
Daun Kacang Panjang,40,3.7,0.3,8,1.8
Daun Singkong,31,3.7,0.6,4.8,"1,6"
Daun Talas,27,1.3,0.2,5.9,1.6
Ampas tahu kukus,75,4.1,2.1,10.7,5.1
Pepea Oncom ampas tahu,76,5.2,1.8,10.6,2.2
Dodol banjarmasin,368,2.6,8.6,70,0.5
Emping(Krupuk),345,12,1.5,71,0
